unique_id,OPtreat,noref,OP,age_hhr,qa1p11_hhr,qa1p12_hhr,quartile1,ravtest,digtest,testz,peanutz,othertype,OPpuzzletypeA,weekend,OPtestz,OPtreat1,OPtreat2,OPtreat3,OPtreat4,OPtreat5,OPtreat6,OPtreat7,OPtestzOPtreat1,OPtestzOPtreat2,OPtestzOPtreat3,OPtestzOPtreat4,OPtestzOPtreat5,OPtestzOPtreat6,OPtestzOPtreat7,refage,OPed,OPravtest,OPdigtest,refravtest,refdigtest,OPagegrp,literate_hhr,class5_hhr,class10_hhr,married_hhr,employed_hhr,hhhead_hhr,young_hhr,income,ln_income,antperf_puzzle,wkid,numcorrect,anyrain,sumrefrain,ref,refactualmeantemp,reftestz,refincome,reflnincome,refed_cont,OP_relative_REFrep,OP_coworkers_REFrep,refcode,OPed_cont,missingscore
1,High Stakes Performance Pay,1,1,30,1,2,0,2,6,-1.4892852,,0,1,1,-1.4892852,0,0,0,1,0,0,0,0,0,0,-1.4892852,0,0,0,,Class 4,2,6,,,30,1,1,0,1,1,0,0,2500,7.8244457,,21,1,0,0,0,,,,,,,,,4,
2,Very Low Fixed Pay,1,1,26,1,1,0,3,16,-.11645859,,0,1,1,-.11645859,0,0,1,0,0,0,0,0,0,-.11645859,0,0,0,0,,Class 9,3,16,,,25,1,0,1,1,1,0,0,2400,7.7836404,,21,3,0,0,0,,,,,,,,,9,
7,Low Stakes Performance Pay,1,1,21,1,5,0,3,13,1.6114094,,0,1,1,1.6114094,0,0,0,0,1,0,0,0,0,0,0,1.6114094,0,0,,Class 10,3,13,,,20,1,0,1,0,1,0,1,1500,7.3138866,,21,4,0,0,0,,,,,,,,,10,
16,Low Stakes Performance Pay,1,1,32,1,1,0,2,13,.92499614,,0,1,1,.92499614,0,0,0,0,1,0,0,0,0,0,0,.92499614,0,0,,Class 7,2,13,,,30,1,0,1,1,1,0,0,1800,7.4960976,,21,4,0,0,0,,,,,,,,,7,
17,Low Stakes Performance Pay,0,1,48,1,1,0,1,12,-.89754963,,0,1,1,-.89754963,0,0,0,0,1,0,0,0,0,0,0,-.89754963,0,0,40,Never attended school,1,12,0,10,45,0,0,0,1,1,1,0,3500,8.1608038,,21,3,0,0,1,72,-1.2999299,2500,7.8244457,8,0,0,2,0,
33,Pure Effort Task 2,0,1,43,1,3,0,0,11,,,,1,1,,0,0,0,0,0,0,1,,,,,,,,50,Class 6,0,11,0,9,40,1,0,1,1,1,0,0,2300,7.7410989,,21,,0,0,1,73,.001888541,6000,8.6996813,0,0,0,27,6,
34,Low Stakes Performance Pay,0,1,60,1,1,0,1,8,-1.2289215,,0,1,1,-1.2289215,0,0,0,0,1,0,0,0,0,0,0,-1.2289215,0,0,58,Never attended school,1,8,2,13,55,0,0,0,1,1,1,0,4650,8.4448376,4,21,1,0,0,1,72,.28592163,2000,7.6014023,12,0,0,26,0,
35,High Stakes Performance Pay,1,1,40,1,2,0,0,14,-.47149998,,0,1,1,-.47149998,0,0,0,1,0,0,0,0,0,0,-.47149998,0,0,0,,Class 8,0,14,,,40,1,0,1,0,1,0,0,3000,8.0067005,,21,2,0,0,0,,,,,,,,,8,
36,Low Fixed Pay,0,1,45,1,1,1,0,9,-.92121905,,0,1,1,-.92121905,0,1,0,0,0,0,0,0,-.92121905,0,0,0,0,0,25,Never attended school,0,9,1,7,45,0,0,0,1,1,1,0,2000,7.6014023,4,21,2,0,0,1,72,-.7081942,4000,8.2943001,0,1,0,4,0,
37,Pure Effort Task 1,0,1,34,1,1,1,1,7,,,,1,1,,0,0,0,0,0,1,0,,,,,,,,35,Class 1,1,7,1,11,30,1,1,0,1,1,1,0,2000,7.6014023,,21,,0,0,1,72,.71197128,2500,7.8244457,5,0,0,4,1,
38,Pure Effort Task 2,0,1,55,1,4,1,0,11,,,,1,1,,0,0,0,0,0,0,1,,,,,,,,49,Class 5,0,11,1,13,55,1,1,0,1,1,1,0,2500,7.8244457,,21,,0,0,1,72,-1.5602936,2000,7.6014023,5,0,1,5,5,
39,Very Low Fixed Pay,0,1,39,1,2,0,1,15,-2.0336821,,0,1,1,-2.0336821,0,0,1,0,0,0,0,0,0,-2.0336821,0,0,0,0,22,Class 8,1,15,1,6,35,1,0,1,1,1,1,0,1700,7.4389715,0,21,0,0,0,1,72,-1.5129547,4000,8.2943001,0,0,0,8,8,
40,Very Low Fixed Pay,0,1,27,1,4,1,0,7,-1.7259796,,0,1,1,-1.7259796,0,0,1,0,0,0,0,0,0,-1.7259796,0,0,0,0,21,Never attended school,0,7,3,10,25,0,0,0,0,1,0,0,1500,7.3138866,4,21,1,0,0,1,72,-1.086905,1200,7.09091,10,0,0,13,0,
41,High Fixed Pay,0,1,46,1,4,1,1,12,.14390509,,0,1,1,.14390509,1,0,0,0,0,0,0,.14390509,0,0,0,0,0,0,40,Did not complete Class 1,1,12,2,11,45,0,0,0,1,1,1,0,4500,8.412055,4,21,3,0,0,1,73,-.51883882,1200,7.09091,7,0,0,1,0,
42,High Stakes Performance Pay,0,1,45,1,1,1,0,6,-2.0336821,,0,1,1,-2.0336821,0,0,0,1,0,0,0,0,0,0,-2.0336821,0,0,0,24,Never attended school,0,6,2,10,45,0,0,0,1,1,1,0,6000,8.6996813,4,21,0,0,0,1,72,.42793819,2000,7.6014023,0,0,0,1,0,
43,Very Low Fixed Pay,0,1,38,1,2,1,1,8,-1.418277,,0,1,1,-1.418277,0,0,1,0,0,0,0,0,0,-1.418277,0,0,0,0,21,Class 5,1,8,1,11,35,1,1,0,1,1,1,0,2500,7.8244457,4,21,1,0,0,1,72,.9960044,3500,8.1608038,6,0,0,4,5,
44,High Stakes Performance Pay,0,1,18,1,4,0,2,14,-1.3472687,,0,1,0,-1.3472687,0,0,0,1,0,0,0,0,0,0,-1.3472687,0,0,0,18,Class 8,2,14,1,20,15,1,0,1,0,1,0,1,1400,7.2449417,3,21,1,0,0,1,80,.68830186,1800,7.4960976,6,0,0,28,8,
45,Low Stakes Performance Pay,0,1,23,2,,0,2,11,-2.0336821,,0,1,0,-2.0336821,0,0,0,0,1,0,0,0,0,0,0,-2.0336821,0,0,59,Class 8,2,11,2,11,20,1,0,1,0,0,0,1,0,0,4,21,0,0,0,1,84,-1.2289215,10000,9.2104406,13,1,0,3,8,
46,Low Fixed Pay,0,1,29,1,1,1,3,10,.42793819,,0,1,0,.42793819,0,1,0,0,0,0,0,0,.42793819,0,0,0,0,0,29,Class 5,3,10,1,19,25,1,1,0,1,1,1,0,2000,7.6014023,,21,3,0,0,1,76,.87765729,4500,8.412055,6,0,0,1,5,
49,Very Low Fixed Pay,1,1,24,1,3,0,3,15,.94866556,,0,1,1,.94866556,0,0,1,0,0,0,0,0,0,.94866556,0,0,0,0,,Graduate and above,3,15,,,20,1,0,0,0,1,0,1,1750,7.4679422,,21,4,0,0,0,,,,,,,,,13,
50,Pure Effort Task 2,0,1,22,2,,0,3,17,,-.70241249,,1,0,,0,0,0,0,0,0,1,,,,,,,,24,Graduate and above,3,17,2,17,20,1,0,0,0,0,0,1,0,0,,21,,0,0,1,80,-.23480572,5000,8.5173931,8,0,0,2,13,
51,High Stakes Performance Pay,0,1,19,1,2,0,3,12,1.4220541,,0,1,0,1.4220541,0,0,0,1,0,0,0,0,0,0,1.4220541,0,0,0,28,Class 7,3,12,2,10,15,1,0,1,0,1,0,1,1000,6.9087548,4,21,4,0,0,1,76,.80664903,1500,7.3138866,8,0,0,2,7,
52,High Fixed Pay,0,1,21,2,,0,3,17,-2.0336821,,0,1,0,-2.0336821,1,0,0,0,0,0,0,-2.0336821,0,0,0,0,0,0,24,Class 12,3,17,3,12,20,1,0,0,0,0,0,1,0,0,4,21,0,0,0,1,76,1.3273764,3500,8.1608038,8,0,0,12,12,
53,Very Low Fixed Pay,0,1,21,1,1,0,3,11,.75931019,,0,1,0,.75931019,0,0,1,0,0,0,0,0,0,.75931019,0,0,0,0,19,Class 10,3,11,2,15,20,1,0,1,0,1,0,1,2000,7.6014023,4,21,4,0,0,1,76,.23858279,0,0,12,0,0,99,10,
54,Pure Effort Task 1,0,1,40,1,1,0,3,12,,-.53988618,,1,1,,0,0,0,0,0,1,0,,,,,,,,18,Class 6,3,12,1,11,40,1,0,1,1,1,0,0,1500,7.3138866,,21,,0,0,1,80,-.4951694,1500,7.3138866,9,1,0,1,6,
55,Low Fixed Pay,0,1,20,1,1,0,2,19,.78297961,,0,1,1,.78297961,0,1,0,0,0,0,0,0,.78297961,0,0,0,0,0,25,Class 10,2,19,3,14,20,1,0,1,0,1,0,1,16000,9.6804066,4,21,4,0,0,1,80,-.44783056,0,0,13,1,0,99,10,
56,High Fixed Pay,0,1,20,1,2,0,2,10,.35692993,,0,1,1,.35692993,1,0,0,0,0,0,0,.35692993,0,0,0,0,0,0,23,Class 6,2,10,3,12,20,1,0,1,0,1,0,1,1600,7.3783836,4,21,3,0,0,1,84,.75931019,2500,7.8244457,4,0,0,1,6,
57,Low Stakes Performance Pay,1,1,21,1,5,0,2,15,.54628533,,0,1,1,.54628533,0,0,0,0,1,0,0,0,0,0,0,.54628533,0,0,,Class 12,2,15,,,20,1,0,0,0,1,0,1,800,6.6858611,,21,3,0,0,0,,,,,,,,,12,
58,Pure Effort Task 1,0,1,18,1,3,0,3,10,,.19148228,,1,1,,0,0,0,0,0,1,0,,,,,,,,35,Class 8,3,10,0,8,15,1,0,1,0,1,0,1,1200,7.09091,,21,,0,0,1,84,-2.0336821,2000,7.6014023,5,0,0,1,8,
59,Low Stakes Performance Pay,0,1,23,1,2,0,2,12,.80664903,,0,1,0,.80664903,0,0,0,0,1,0,0,0,0,0,0,.80664903,0,0,37,Class 10,2,12,0,10,20,1,0,1,0,1,0,1,4500,8.412055,4,21,4,0,0,1,80,-.40049168,2500,7.8244457,7,1,0,2,10,
60,Pure Effort Task 1,0,1,20,1,3,0,2,13,,-.45862299,,1,0,,0,0,0,0,0,1,0,,,,,,,,19,Class 10,2,13,2,14,20,1,0,1,0,1,0,1,4000,8.2943001,,21,,0,0,1,76,-.96855789,1200,7.09091,12,0,0,2,10,
61,High Fixed Pay,0,1,18,1,4,0,3,18,1.6587483,,0,1,0,1.6587483,1,0,0,0,0,0,0,1.6587483,0,0,0,0,0,0,27,Class 10,3,18,3,15,15,1,0,1,0,1,0,1,1200,7.09091,4,21,4,0,0,1,76,.54628533,2080,7.640604,8,1,0,2,10,
62,Low Stakes Performance Pay,0,1,19,1,4,0,3,12,-1.4656159,,0,1,0,-1.4656159,0,0,0,0,1,0,0,0,0,0,0,-1.4656159,0,0,20,Class 8,3,12,3,10,15,1,0,1,0,1,0,1,1200,7.09091,,21,1,0,0,1,76,.87765729,2700,7.9013772,9,0,0,34,8,
63,Pure Effort Task 1,1,1,20,1,4,0,0,,,,,1,0,,0,0,0,0,0,1,0,,,,,,,,,Class 12,0,,,,20,1,0,0,0,1,0,1,10000,9.2104406,,21,,0,0,0,,,,,,,,,12,
65,Low Stakes Performance Pay,0,1,21,1,3,0,2,25,1.0906821,,0,1,0,1.0906821,0,0,0,0,1,0,0,0,0,0,0,1.0906821,0,0,18,Class 12,2,25,3,17,20,1,0,0,0,1,0,1,1500,7.3138866,4,21,4,0,0,1,80,1.3747152,1020,6.9285378,9,0,0,20,12,
66,Very Low Fixed Pay,0,1,17,2,,0,2,10,.49894649,,0,1,0,.49894649,0,0,1,0,0,0,0,0,0,.49894649,0,0,0,0,18,Class 11,2,10,2,9,15,1,0,0,0,0,0,1,0,0,4,21,3,0,0,1,80,.26225221,2400,7.7836404,11,0,0,10,11,
67,Low Fixed Pay,1,1,19,1,2,0,3,14,.64096302,,0,1,0,.64096302,0,1,0,0,0,0,0,0,.64096302,0,0,0,0,0,,Class 12,3,14,,,15,1,0,0,0,1,0,1,3000,8.0067005,,21,4,0,0,0,,,,,,,,,12,
68,Pure Effort Task 1,1,1,19,1,5,0,2,20,,-.37735984,,1,0,,0,0,0,0,0,1,0,,,,,,,,,Class 12,2,20,,,15,1,0,0,0,1,0,1,3500,8.1608038,,21,,0,0,0,,,,,,,,,12,
75,High Stakes Performance Pay,1,1,20,1,2,0,3,11,.64096302,,0,1,1,.64096302,0,0,0,1,0,0,0,0,0,0,.64096302,0,0,0,,Class 12,3,11,,,20,1,0,0,0,1,0,1,3500,8.1608038,,21,4,0,0,0,,,,,,,,,12,
76,Pure Effort Task 2,0,1,19,1,1,1,1,16,,-.6211493,,1,1,,0,0,0,0,0,0,1,,,,,,,,21,Class 10,1,16,1,14,15,1,0,1,0,1,0,1,500,6.2166061,,21,,0,0,1,76,.33326051,0,0,12,1,0,11,10,
77,Pure Effort Task 2,1,1,19,1,3,0,3,14,,-.94620198,,1,1,,0,0,0,0,0,0,1,,,,,,,,,Class 12,3,14,,,15,1,0,0,0,1,0,1,800,6.6858611,,21,,0,0,0,,,,,,,,,12,
78,High Stakes Performance Pay,0,1,23,1,2,0,2,10,-1.1579133,,0,1,1,-1.1579133,0,0,0,1,0,0,0,0,0,0,-1.1579133,0,0,0,21,Class 9,2,10,2,15,20,1,0,1,1,1,0,1,2500,7.8244457,4,21,2,0,0,1,76,-.7555331,3000,8.0067005,9,0,0,1,9,
79,Pure Effort Task 2,0,1,51,1,1,1,3,14,,-1.0274651,,1,1,,0,0,0,0,0,0,1,,,,,,,,32,Class 8,3,14,2,8,50,1,0,1,1,1,1,0,2500,7.8244457,,21,,0,0,1,76,-.37682226,1500,7.3138866,4,1,0,8,8,
80,High Stakes Performance Pay,0,1,24,1,2,1,2,13,1.1143515,,0,1,1,1.1143515,0,0,0,1,0,0,0,0,0,0,1.1143515,0,0,0,24,Class 12,2,13,3,10,20,1,0,0,1,1,0,1,1200,7.09091,4,21,4,0,0,1,80,.38059935,2500,7.8244457,10,0,0,1,12,
81,Low Fixed Pay,0,1,26,1,1,1,3,14,1.4693929,,0,1,1,1.4693929,0,1,0,0,0,0,0,0,1.4693929,0,0,0,0,0,22,Class 8,3,14,3,14,25,1,0,1,1,1,0,0,3200,8.0712185,4,21,4,0,0,1,84,.9960044,2300,7.7410989,6,1,0,6,8,
82,Pure Effort Task 1,0,1,20,1,2,0,3,12,,-.29609668,,1,1,,0,0,0,0,0,1,0,,,,,,,,39,Class 12,3,12,1,10,20,1,0,0,0,1,0,1,3000,8.0067005,,21,,0,0,1,80,-.18746686,5000,8.5173931,11,1,0,98,12,
83,Pure Effort Task 1,0,1,20,1,5,0,3,11,,-.78367561,,1,1,,0,0,0,0,0,1,0,,,,,,,,19,Class 10,3,11,3,14,20,1,0,1,0,1,0,1,3000,8.0067005,,21,,0,0,1,76,.97233498,3000,8.0067005,8,0,0,20,10,
84,Low Fixed Pay,0,1,20,1,2,0,3,17,1.138021,,0,1,1,1.138021,0,1,0,0,0,0,0,0,1.138021,0,0,0,0,0,19,Class 7,3,17,3,13,20,1,0,1,0,1,0,1,2000,7.6014023,4,21,4,0,0,1,84,1.2800375,2500,7.8244457,4,0,0,28,7,
85,High Stakes Performance Pay,0,1,18,1,3,1,2,13,1.3037069,,0,1,1,1.3037069,0,0,0,1,0,0,0,0,0,0,1.3037069,0,0,0,18,Class 9,2,13,3,16,15,1,0,1,0,1,0,1,1000,6.9087548,3,21,4,0,0,1,80,1.3037069,1000,6.9087548,9,0,0,1,9,
86,High Stakes Performance Pay,0,1,18,1,2,1,2,10,.19124395,,0,1,1,.19124395,0,0,0,1,0,0,0,0,0,0,.19124395,0,0,0,20,Class 8,2,10,3,20,15,1,0,1,0,1,0,1,1000,6.9087548,2,21,3,0,0,1,84,1.3273764,1500,7.3138866,8,0,0,2,8,
87,Very Low Fixed Pay,0,1,41,1,1,0,3,10,1.1853598,,0,1,1,1.1853598,0,0,1,0,0,0,0,0,0,1.1853598,0,0,0,0,19,Class 8,3,10,3,17,40,1,0,1,1,1,1,0,2000,7.6014023,4,21,4,0,0,1,84,.45160761,800,6.6858611,12,1,0,23,8,
88,Pure Effort Task 2,1,1,21,1,1,0,2,11,,-.70241249,,1,1,,0,0,0,0,0,0,1,,,,,,,,,Class 10,2,11,,,20,1,0,1,0,1,0,1,2000,7.6014023,,21,,0,0,0,,,,,,,,,10,
89,Pure Effort Task 2,0,1,47,1,1,0,3,13,,.84158754,,1,0,,0,0,0,0,0,0,1,,,,,,,,45,Class 9,3,13,2,10,45,1,0,1,1,1,1,0,1500,7.3138866,,20,,0,0,1,78,.66463244,2400,7.7836404,12,0,0,5,9,
90,Low Stakes Performance Pay,0,1,40,1,2,0,1,10,.52261591,,0,1,0,.52261591,0,0,0,0,1,0,0,0,0,0,0,.52261591,0,0,38,Class 8,1,10,2,17,40,1,0,1,1,1,0,0,5000,8.5173931,4,20,4,0,0,1,78,.42793819,1600,7.3783836,11,0,0,28,8,
91,Low Stakes Performance Pay,0,1,42,1,1,0,2,15,1.4693929,,0,1,0,1.4693929,0,0,0,0,1,0,0,0,0,0,0,1.4693929,0,0,32,Graduate and above,2,15,3,11,40,1,0,0,1,1,1,0,4000,8.2943001,3,20,4,0,0,1,78,.47527704,6000,8.6996813,12,1,0,29,13,
92,Pure Effort Task 2,0,1,42,1,1,0,2,12,,-.94620198,,1,0,,0,0,0,0,0,0,1,,,,,,,,38,Class 9,2,12,2,13,40,1,0,1,1,1,0,0,2000,7.6014023,,20,,0,0,1,81,1.4457235,2000,7.6014023,9,0,0,2,9,
93,Pure Effort Task 2,0,1,28,1,3,0,3,16,,-.37735984,,1,0,,0,0,0,0,0,0,1,,,,,,,,27,Class 10,3,16,3,9,25,1,0,1,0,1,0,0,4500,8.412055,,20,,0,0,1,78,1.3037069,3000,8.0067005,10,0,0,1,10,
94,Low Fixed Pay,0,1,29,1,2,0,3,15,1.5404012,,0,1,0,1.5404012,0,1,0,0,0,0,0,0,1.5404012,0,0,0,0,0,24,Class 10,3,15,2,15,25,1,0,1,0,1,0,0,2000,7.6014023,4,20,4,0,0,1,78,-.80287194,2000,7.6014023,8,0,0,28,10,
95,Low Stakes Performance Pay,0,1,20,2,,0,2,15,1.2800375,,0,1,0,1.2800375,0,0,0,0,1,0,0,0,0,0,0,1.2800375,0,0,19,Class 12,2,15,3,12,20,1,0,0,0,0,0,1,0,0,4,20,4,0,0,1,78,1.4930624,0,0,12,0,0,11,12,
96,Low Stakes Performance Pay,1,1,28,1,3,0,2,11,.52261591,,0,1,0,.52261591,0,0,0,0,1,0,0,0,0,0,0,.52261591,0,0,,Class 9,2,11,,,25,1,0,1,1,1,0,0,4050,8.3067188,,20,3,0,0,0,,,,,,,,,9,
97,Pure Effort Task 1,1,1,53,1,1,0,1,14,,-.29609668,,1,0,,0,0,0,0,0,1,0,,,,,,,,,Class 12,1,14,,,50,1,0,0,1,1,1,0,1500,7.3138866,,20,,0,0,0,,,,,,,,,12,
98,Low Fixed Pay,0,1,23,1,3,0,2,11,1.5640706,,0,1,0,1.5640706,0,1,0,0,0,0,0,0,1.5640706,0,0,0,0,0,36,Class 5,2,11,3,8,20,1,1,0,0,1,0,1,5000,8.5173931,4,20,4,0,0,1,78,-.23480572,2500,7.8244457,8,0,0,2,5,
99,High Stakes Performance Pay,1,1,22,1,2,0,2,12,-.85021079,,0,1,0,-.85021079,0,0,0,1,0,0,0,0,0,0,-.85021079,0,0,0,,Class 6,2,12,,,20,1,0,1,0,1,0,1,2500,7.8244457,,20,2,0,0,0,,,,,,,,,6,
100,Pure Effort Task 1,0,1,24,1,5,0,0,7,,-.13357036,,1,0,,0,0,0,0,0,1,0,,,,,,,,20,Class 5,0,7,1,5,20,1,1,0,0,1,0,1,1200,7.09091,,20,,0,0,1,81,-.58984709,1500,7.3138866,7,0,0,23,5,
102,Pure Effort Task 2,0,1,18,2,,0,1,10,,1.2479033,,1,0,,0,0,0,0,0,0,1,,,,,,,,24,Class 10,1,10,3,12,15,1,0,1,0,0,0,1,0,0,,20,,0,0,1,78,-.28214458,1200,7.09091,5,0,0,1,10,
103,Low Stakes Performance Pay,0,1,19,2,,1,2,12,.83031845,,0,1,0,.83031845,0,0,0,0,1,0,0,0,0,0,0,.83031845,0,0,18,Class 11,2,12,3,10,15,1,0,0,0,0,0,1,0,0,3,20,4,0,0,1,78,.001888541,1000,6.9087548,8,1,0,1,11,
104,High Fixed Pay,0,1,20,2,,0,3,17,-.305814,,0,1,0,-.305814,1,0,0,0,0,0,0,-.305814,0,0,0,0,0,0,21,Class 12,3,17,3,8,20,1,0,0,0,0,0,1,0,0,3,20,2,0,0,1,78,1.1853598,300,5.7071104,12,0,0,10,12,
105,Low Fixed Pay,0,1,18,2,,1,2,11,-.42416111,,0,1,0,-.42416111,0,1,0,0,0,0,0,0,-.42416111,0,0,0,0,0,18,Class 8,2,11,3,15,15,1,0,1,0,0,0,1,0,0,4,20,2,0,0,1,81,1.2090292,0,0,9,0,0,11,8,
106,High Fixed Pay,0,1,19,2,,1,3,19,1.0433433,,0,1,0,1.0433433,1,0,0,0,0,0,0,1.0433433,0,0,0,0,0,0,19,Class 12,3,19,2,16,15,1,0,0,0,0,0,1,0,0,3,20,4,0,0,1,78,-.94488847,12000,9.392745,10,0,0,2,12,
107,High Stakes Performance Pay,0,1,21,2,,0,1,15,1.7060872,,0,1,0,1.7060872,0,0,0,1,0,0,0,0,0,0,1.7060872,0,0,0,21,Class 12,1,15,2,15,20,1,0,0,0,0,0,1,0,0,2,20,4,0,0,1,81,-.54250824,1200,7.09091,10,0,0,2,12,
108,High Fixed Pay,0,1,19,2,,0,3,19,.33326051,,0,1,0,.33326051,1,0,0,0,0,0,0,.33326051,0,0,0,0,0,0,19,Class 12,3,19,3,15,15,1,0,0,0,0,0,1,0,0,4,20,3,0,0,1,78,.75931019,0,0,11,0,0,11,12,
109,Low Stakes Performance Pay,0,1,20,2,,0,2,15,-1.1815827,,0,1,0,-1.1815827,0,0,0,0,1,0,0,0,0,0,0,-1.1815827,0,0,20,Class 12,2,15,3,18,20,1,0,0,0,0,0,1,0,0,2,20,1,0,0,1,78,1.3273764,0,0,12,0,0,11,12,
110,Very Low Fixed Pay,0,1,19,1,5,0,1,11,.6172936,,0,1,0,.6172936,0,0,1,0,0,0,0,0,0,.6172936,0,0,0,0,20,Class 9,1,11,0,16,15,1,0,1,0,1,0,1,1500,7.3138866,3,20,4,0,0,1,81,-2.0336821,2000,7.6014023,7,0,0,1,9,
111,Very Low Fixed Pay,1,1,30,1,2,0,3,17,1.5167317,,0,1,0,1.5167317,0,0,1,0,0,0,0,0,0,1.5167317,0,0,0,0,,Class 7,3,17,,,30,1,0,1,0,1,0,0,1700,7.4389715,,20,4,0,0,0,,,,,,,,,7,
112,Pure Effort Task 2,0,1,18,1,2,1,1,10,,-.052307207,,1,0,,0,0,0,0,0,0,1,,,,,,,,18,Class 5,1,10,3,13,15,1,1,0,0,1,0,1,1000,6.9087548,,20,,0,0,1,78,-.14012802,800,6.6858611,8,0,0,1,5,
113,Pure Effort Task 1,0,1,35,1,1,1,0,9,,.84158754,,1,0,,0,0,0,0,0,1,0,,,,,,,,45,Class 5,0,9,2,14,35,1,1,0,1,1,1,0,1800,7.4960976,,20,,0,0,1,78,1.0906821,1800,7.4960976,10,1,0,1,5,
115,Pure Effort Task 2,0,1,18,1,1,1,3,13,,-.78367561,,1,0,,0,0,0,0,0,0,1,,,,,,,,19,Class 7,3,13,3,15,15,1,0,1,0,1,0,1,3200,8.0712185,,20,,0,0,1,81,1.3510458,1000,6.9087548,10,0,0,1,7,
116,Very Low Fixed Pay,0,1,18,1,5,0,3,7,.47527704,,0,1,0,.47527704,0,0,1,0,0,0,0,0,0,.47527704,0,0,0,0,21,Class 10,3,7,3,19,15,1,0,1,0,1,0,1,800,6.6858611,3,20,3,0,0,1,78,.68830186,1500,7.3138866,13,1,0,2,10,
117,Pure Effort Task 1,0,1,18,1,3,0,2,11,,.19148228,,1,0,,0,0,0,0,0,1,0,,,,,,,,18,Class 10,2,11,2,14,15,1,0,1,0,1,0,1,1000,6.9087548,,20,,0,0,1,81,.6172936,1500,7.3138866,11,0,0,1,10,
118,High Stakes Performance Pay,1,1,18,1,1,0,3,16,-.23480572,,0,1,0,-.23480572,0,0,0,1,0,0,0,0,0,0,-.23480572,0,0,0,,Class 10,3,16,,,15,1,0,1,0,1,0,1,1200,7.09091,,20,2,0,0,0,,,,,,,,,10,
119,High Stakes Performance Pay,0,1,18,2,,0,3,15,-2.0336821,,0,1,0,-2.0336821,0,0,0,1,0,0,0,0,0,0,-2.0336821,0,0,0,21,Class 10,3,15,1,10,15,1,0,1,0,0,0,1,0,0,0,20,0,0,0,1,78,-.045450311,4500,8.412055,10,0,0,23,10,
120,Low Stakes Performance Pay,1,1,33,1,1,0,2,9,-.54250824,,0,1,0,-.54250824,0,0,0,0,1,0,0,0,0,0,0,-.54250824,0,0,,Class 2,2,9,,,30,0,1,0,1,1,0,0,1500,7.3138866,,20,3,0,0,0,,,,,,,,,2,
121,High Stakes Performance Pay,0,1,19,2,,0,3,21,.30959108,,0,1,0,.30959108,0,0,0,1,0,0,0,0,0,0,.30959108,0,0,0,19,Class 11,3,21,3,15,15,1,0,0,0,0,0,1,0,0,2,20,3,0,0,1,81,-.54250824,0,0,10,0,0,99,11,
122,High Stakes Performance Pay,0,1,36,1,1,0,1,7,-.23480572,,0,1,0,-.23480572,0,0,0,1,0,0,0,0,0,0,-.23480572,0,0,0,21,Class 7,1,7,1,9,35,1,0,1,1,1,0,0,2000,7.6014023,2,20,2,0,0,1,78,-1.3235993,3000,8.0067005,0,0,0,28,7,
123,High Stakes Performance Pay,0,1,18,2,,0,2,18,.35692993,,0,1,0,.35692993,0,0,0,1,0,0,0,0,0,0,.35692993,0,0,0,18,Class 11,2,18,3,27,15,1,0,0,0,0,0,1,0,0,3,20,3,0,0,1,81,1.3747152,0,0,10,0,0,99,11,
128,Pure Effort Task 1,0,1,18,1,1,1,2,17,,.51653492,,1,0,,0,0,0,0,0,1,0,,,,,,,,37,Class 9,2,17,0,11,15,1,0,1,0,1,0,1,600,6.3985949,,20,,0,0,1,78,.45160761,1200,7.09091,7,0,0,2,9,
129,Very Low Fixed Pay,0,1,18,1,1,0,3,15,-.045450311,,0,1,0,-.045450311,0,0,1,0,0,0,0,0,0,-.045450311,0,0,0,0,19,Class 9,3,15,2,14,15,1,0,1,0,1,0,1,1000,6.9087548,4,20,3,0,0,1,78,.9960044,2000,7.6014023,12,0,0,2,9,
