depends,deplabel,depvaroptreat1,depvaroptreat2,depvaroptreat4,depvaroptreat5,depvarcons,nobs,pvalue
age_hhr,Age of Resp,-1.5081967,-1.6837606,-1.1102941,-.40000001,31,561,.6952529
,,1.4155625,1.4266462,1.3885005,1.4313238,1.1254606,,
,,,,,,,,
literate_hhr,Resp is literate,.030708844,.044299986,.031793702,.034415185,.88732392,561,.8793413
,,.041093051,.041414808,.040307455,.041550592,.032671545,,
,,,,,,,,
class5_hhr,Resp had 5 or less years of schooling,.033595014,.016010594,.028893951,.03637477,.15492958,561,.96981907
,,.057581246,.058032103,.056480438,.058222368,.045780689,,
,,,,,,,,
class10_hhr,Resp had 5-10 yrs schooling,.0011544678,.031419285,-.0511599,-.063563995,.50704223,561,.56545699
,,.074750677,.075335972,.073321626,.075582966,.05943146,,
,,,,,,,,
married_hhr,Resp was married,-.076194875,-.082219817,-.0057995031,-.083037354,.53521127,561,.54531622
,,.074719764,.075304814,.073291309,.075551711,.05940688,,
,,,,,,,,
employed_hhr,Resp was employed,-.072500579,-.051763572,-.068040594,-.070789956,.95774651,561,.50246245
,,.044811342,.045162212,.043954659,.045310281,.035627816,,
,,,,,,,,
ln_income,Ln of income + 1,-.64421159,-.50718564,-.38806224,-.49917653,7.3651638,561,.52008271
,,.37241098,.37532693,.36529142,.3765575,.29609001,,
,,,,,,,,
hhhead_hhr,Resp is HH Head,-.042946201,-.021788852,-.058616403,-.068462953,.33802816,561,.84600824
,,.068353631,.068888836,.067046881,.0691147,.05434541,,
,,,,,,,,
mainearner,Resp is primary earner in HH,-.08381436,-.062236667,-.046085335,-.084384568,.78873241,561,.71457934
,,.066513464,.067034259,.065241896,.067254044,.052882358,,
,,,,,,,,
young_hhr,Resp is 17-25 Years Old,.065920115,-.018779343,-.013877382,.03049602,.35211268,561,.62728262
,,.072034419,.072598442,.070657298,.072836466,.057271864,,
,,,,,,,,
ravtest,Number of Ravens Correct,-.044562455,-.16492115,-.15316902,-.22816901,2.0281689,561,.44289827
,,.1425395,.14365557,.1398145,.14412656,.11332781,,
,,,,,,,,
digtest,Number of Digits Correct,.75098127,.23739015,-.0956918,.16901408,11.830986,561,.37021276
,,.51869148,.52275282,.50877541,.52446669,.41239214,,
,,,,,,,,
othertype,different puzzle types,-.021703994,-.036836404,.011806131,-.024127373,.26760563,561,.91441256
,,.06513644,.065646455,.063891195,.065861687,.05178754,,
,,,,,,,,
testz,Normalized Test Score on All Puzzles,.14065574,.11930451,-.1800798,.0079922378,-.0087793749,561,.075977854
,,.14822637,.14938697,.14539266,.14987676,.11784922,,
,,,,,,,,
testz_nonat,Test Scores Among Non-Attriting OPs,.16760126,.16310357,.020998824,.023899548,-.038875472,406,.68259221
,,.168524,.17187016,.1669098,.1731357,.13377632,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
